"Pno",Title,Authors,Volume,Year,Pages
"125",On Coverability Structures for Jumping Petri Nets.,Cristian VIDRASCU and Toader JUCAN,Scientific Annals of Computer Science,2000,1--26

"126",A RDF Description of Distributed File Systems.,Sabin Corneliu BURAGA,Scientific Annals of Computer Science,2000,27--44

"127",Ontologies for Information Retrieval.,Amalia TODIRASCU,Scientific Annals of Computer Science,2000,45--64

"128",Boundary Control Approximation of a 1-Dimensional Hyperbolic Equations.,Anca IGNAT,Scientific Annals of Computer Science,2000,65--78

"129",On the Computation of the Nucleous of Line-Graph Peer Group Games.,Rodica BRANZEI,Scientific Annals of Computer Science,2000,79--92

"130",Generalized Template Dependencies.,Adrian OANCEA,Scientific Annals of Computer Science,2000,93--

"131",The Clique Structure of a Graph.,Gabriela ALEXE and Sorin ALEXE,Scientific Annals of Computer Science,1998,1--16

"132",Distributed Simulation of Products Assembly.,Alexandru CICORTAS and Daniela Maria SIRBU,Scientific Annals of Computer Science,1998,17--26

"133",Waiting Time and Delay in Modeling with Virtual Assembly Cells.,Alexandru CICORTAS,Scientific Annals of Computer Science,1998,27--35

"134",Interaction Structures for Communicating Processes.,Gabriel CIOBANU and Florentin OLARIU,Scientific Annals of Computer Science,1998,36--43

"135",The special degree of a node in a graph.,Moise COCAN and Virgil PROSCANU,Scientific Annals of Computer Science,1998,44--52

"136",Outlier Generating Model: a new approach using Genetic Algorithms.,Cotofrei PAUL,Scientific Annals of Computer Science,1998,53--63

"137",A structural property of monsters.,Cornelius CROITORU,Scientific Annals of Computer Science,1998,64--66

"138",Exploring Unknown Undirected Graphs.,Cornelius CROITORU and Cristian FRASINARU,Scientific Annals of Computer Science,1998,67--76

"139",On the family of Conditional Generalized Dependencies.,Victor FELEA,Scientific Annals of Computer Science,1998,77--87

"140",On fully bracketed languages with finite selection.,Florin FORTIS,Scientific Annals of Computer Science,1998,88--98

"141",Summary Measurements and Screening Procedures in Clinical Trials: A Large Simulation Study.,Morton B. BROWN and Camil FUCHS,Scientific Annals of Computer Science,1998,99--113

"142",Specifications by quantifier-free theory of superlinear inequalities and complexity of its decidability.,Kossovski NIKOLAI and Tishkov ARTEM,Scientific Annals of Computer Science,1998,114--120

"143",On strongly stable graphs and some consequences for partitionable graphs.,Elefterie OLARU,Scientific Annals of Computer Science,1998,121--128

"144",A Parallel Version of a Multistep Method to Solve the Initial Value Problem.,Scheiber ERNO and Cristina ANTONESCU,Scientific Annals of Computer Science,1998,129--134

"145",The In-Out Rebalancing Flow Method for Maximum Flow Computation.,Sabin TABIRCA and Eleonor CIUREA and Tatiana TABIRCA,Scientific Annals of Computer Science,1998,135--145

"146",The Reciprocal Theorems Concerning the Chromatic Polynomial.,Tatiana TABIRCA and Sabin TABIRCA and Eleonor CIUREA,Scientific Annals of Computer Science,1998,146--150

"147",On Normalization of Petri Nets.,Ferucio Laurentiu TIPLEA and Aurora TIPLEA,Scientific Annals of Computer Science,1998,151--161

"148",Tricky Errors in C Programs and Their Detection by Knowledge-Based Reverse Engineering.,Stefan TRAUSAN-MATU and Lorina NEGREANU,Scientific Annals of Computer Science,1998,162--176

"149",A class of adaptive recurrent neural networks and image enhacement.,Daniela ZAHARIE,Scientific Annals of Computer Science,1998,177--

"150",Analyse Harmonique Qualitative des Processus Markoviens des Sauts Stationnaires.,Cristian PREDA,Scientific Annals of Computer Science,1998,5--18

"151",Interpreter-Based Approach to Generalized Matrix inversion.,Predrag S. STANIMIROVIC,Scientific Annals of Computer Science,1998,19--32

"152",On Strongly Stable Graphs and Some Consequences for Partitionable Graphs.,Elefterie OLARU,Scientific Annals of Computer Science,1998,33--42

"153",A Mathematical Model of Evolutionary Systems.,Adrian ATANASIU,Scientific Annals of Computer Science,1998,43--54

"154",Some Results on Three-Persons Games with a Weighted Combination of Linear Entropic Criteria.,Rodica BRANZEI,Scientific Annals of Computer Science,1998,55--68

"155",On the Structure of the Romanian Relative Clauses.,Amalia TODIRASCU,Scientific Annals of Computer Science,1998,69--90

"156",Generation of Combinatorial Elements using Oop.,Horia GEORGESCU,Scientific Annals of Computer Science,1998,91--102

"157",On Complexity of Reachability of Transition Restricted Petri Nets.,Cristian ENE,Scientific Annals of Computer Science,1998,103--106

"158",Disjunction as Alternative Choices.,Cristian PAPP,Scientific Annals of Computer Science,1996-1997,5--28

"159",RAA-Coherent Logics which are not RAA-Extended are Non-Monotonic.,Cristian PAPP,Scientific Annals of Computer Science,1996-1997,29--34

"160",Semigroups of RN-algorithms.,Costica CAZACU and Liliana IBANESCU,Scientific Annals of Computer Science,1996-1997,35--48

"161",A Dynamic Approach to the Three-Persons Cooperative Games.,Rodica BRANZEI,Scientific Annals of Computer Science,1996-1997,49--66

"162",On Refinement in Rewriting Logic.,Dorel LUCANU and Nicolae SURPATANU,Scientific Annals of Computer Science,1996-1997,67--84

"163",Morphological Grammars.,Stefan ANDREI and Manfred KUDLEK,Scientific Annals of Computer Science,1996-1997,85--114

"164",Finding keys in particular classes of functional dependencies.,Stefan ANDREI,Scientific Annals of Computer Science,1995,5--12

"165",Dataflow lambda-calculus.,Gabriel CIOBANU,Scientific Annals of Computer Science,1995,13--28

"166",Complex Polynomial Near-Rings.,W. B. Vasantha KANDASAMY,Scientific Annals of Computer Science,1995,29--32

"167",On Semigroup-Semisuperboolean Algebras.,W. B. Vasantha KANDASAMY,Scientific Annals of Computer Science,1995,33--36

"168",A Minimal Model Computation of the Generalized Disjunctive Well-Founded Semantics.,Cristian PAPP,Scientific Annals of Computer Science,1995,37--64

"169",,Qingbo XUE,Scientific Annals of Computer Science,1995,65--72

"170",On the "rep" construction into pi-nets.,Mihai ROTARU and Gabriel CIOBANU,Scientific Annals of Computer Science,1995,73--84

"171",Buchberger Algorithm in Theorem Proving.,Daniela TATAR,Scientific Annals of Computer Science,1995,85--92

"172",A Unification-Based Model for Speech Generation.,Amalia TODIRASCU,Scientific Annals of Computer Science,1995,93--104

"173",Magnetic Dynamical Systems.,Constantin UDRISTE and Aneta UDRISTE and Vladimir BALAN and Mihai POSTOLACHE,Scientific Annals of Computer Science,1995,105--126

"174",REVIEWS,,Scientific Annals of Computer Science,1995,127--

"175",Closse Approximations of Sigmoid Functions by Sum of Step for VLSI Implementation of Neural Networks.,Valeriu BEIU and Jan A. PEPERSTRAETE and Joos VANDEWALLE and Rudy LAUWEREINS,Scientific Annals of Computer Science,1994,5--34

"176",Neural Networks for Topological Sorting.,Octav BRUDARU,Scientific Annals of Computer Science,1994,35--44

"177",Three Theories of Computational Complexity Extended Abstract.,Cristian CALUDE and Monica TATARAM,Scientific Annals of Computer Science,1994,45--52

"178",Random Numbers.,Cezar CAMPEANU,Scientific Annals of Computer Science,1994,53--64

"179",Hypercompositional Structures in the Theory of the Languages and Automata.,G. G. MASSOUROS,Scientific Annals of Computer Science,1994,65--74

"180",Fixed-point Solutions for Ground Term Rewriting Systems.,Dorel LUCANU,Scientific Annals of Computer Science,1994,75--84

"181",Unfould Transformations and Fixpoint Semantics for Disjunctive Deductive Databases.,Cristian PAPP,Scientific Annals of Computer Science,1994,85--106

"182",On the Topological Size of p-m-Complete Degrees.,Marius ZIMAND,Scientific Annals of Computer Science,1994,107--116

"183",REVIEWS,,Scientific Annals of Computer Science,1994,117--

"184",Gramars with Oracles.,Lila KARI and Alexandru MATEESCU and Arto SALOMAA and Gheorghe PAUN,Scientific Annals of Computer Science,1993,3--12

"185",On the Minimization and Succintness of Systolic Binary Tree Automata.,Jozef GRUSKA and Margherita NAPOLI and Domenico PARENTE,Scientific Annals of Computer Science,1993,13--26

"186",Relation Based Controlled Petri Nets.,Toader JUCAN and Cristian MASALAGIU and Ferucio Laurentiu TIPLEA,Scientific Annals of Computer Science,1993,27--36

"187",Parallel Substitution on Words and Languages.,Adrian ATANASIU and Victor MITRANA,Scientific Annals of Computer Science,1993,37--44

"188",On Strongly Perfect Graphs and the Structure of Critically-Imperfect Graphs.,Elefterie OLARU,Scientific Annals of Computer Science,1993,45--60

"189",C-Perfect Graphs.,Cornelius CROITORU and Costel RADU,Scientific Annals of Computer Science,1993,61--72

"190",Logic Progamming with Built-in Object-Orientation.,Liviu Ciortuz,Scientific Annals of Computer Science,1993,73--92

"191",A Bottom-up Reconstruction of the Well-Founded Semantics for Disjunctive Logic Programs.,Cristian PAPP,Scientific Annals of Computer Science,1993,93--108

"192",Calcul symbolique pour l'obtention des solution exactes de l'Equation de Ginzburg-Landau.,Anca IGNAT,Scientific Annals of Computer Science,1993,109--120

"193",Simulation Studies on Time Discrete Diffusion Approximation by the Splitting Up Method.,Ioan ASIMINOAEI,Scientific Annals of Computer Science,1993,121--

"194",Submodularity Relations for the Independence Function of a Graph.,Cornelius CROITORU and Costel RADU,Scientific Annals of Computer Science,1992,3--10

"195",Colourings and Orderings in a Graph.,Cornelius CROITORU and Costel RADU,Scientific Annals of Computer Science,1992,11--16

"196",On Foundations of the Effective Computability Theory.,Costica CAZACU,Scientific Annals of Computer Science,1992,17--26

"197",On Some Rado's Type Functions.,Petrisor PANAITE,Scientific Annals of Computer Science,1992,27--40

"198",A User-Oriented Approach for the Protection of Statistical Databases.,Henri LUCHIAN and Daniel STAMATE,Scientific Annals of Computer Science,1992,41--56

"199",A Model for a lambda-calculus Extended for Dataflow Computation.,Gabriel CIOBANU,Scientific Annals of Computer Science,1992,57--68

"200",Armstrong-like Relations for Functional Partition Dependencies.,Victor FELEA,Scientific Annals of Computer Science,1992,69--76

"201",Corrections to "Reversible and Strict Reversible P/T-Systems".,Ferucio Laurentiu TIPLEA,Scientific Annals of Computer Science,1992,77--80

"202",RECENZII,,Scientific Annals of Computer Science,1992,81--

"203",A Logic for Complex Computing Systems: Properties Preservation Along Integration and Abstraction,M. Aiguier and B. Kanso,Scientific Annals of Computer Science,2014,1--46

"204",Instruction Sequence Based Non-uniform Complexity Classes,J.A. Bergstra and C.A. Middelburg,Scientific Annals of Computer Science,2014,47--89

